,name,description,id
0,round Moselle backpack,"Sporting a unique round shape, the Moselle backpack from C么te&Ciel is set in navy blue for timeless everyday style. Featuring a top handle, shoulder straps and a zip fastening, this C么te&Ciel backpack conveniently combines style, comfort and practicality.",51
1,"Mancini Colombian Collection Slim 15.6"" Laptop Backpack",Our Colombian collection of briefcases are engineered for functionality and performance. This briefcase features a compartment with a separate laptop/tablet padded sleeve to keep your devices secure. A zippered organizer on the front with multiple pouches and Rfid wave blocking technology.,51
2,The North Face 'Jester' Backpack - Blue,"A roomy backpack holds everything you need for your morning commute or weekend adventure, featuring two large zip compartments, a padded laptop sleeve, an internal organization sleeve and an external bungee cord system. Molded straps are designed to fit a woman's proportions, providing all-day carrying comfort. Style Name: The North Face 'Jester' Backpack. Style Number: 1133054. Available in stores.",51
3,Eartha Iconic Convertible Backpack,"Zac Posen uses his label鈥檚 signature luxe attitude to meet the needs of a modern-day city girl, presenting silhouettes that are both stylish and practical in the ZAC Zac Posen accessory line. The 鈥楨artha Iconic鈥?is an instantly recognised style from the acclaimed American designer, arriving for the new season in a convertible backpack variation. Fashioned from versatile black leather with white faux pearl embellishments, the multi-purpose handbag boasts an angular structure, a fold over top with a turn-lock fastening, an internal slip pocket and standout gold-tone hardware. Carry it in-hand using the top handle, or swing it over your back from the comfortable, optional shoulder straps.",51
4,Nile backpack,Black Nile backpack from C么te&Ciel. This item is unisex.,51
5,'Stark' medium backpack,Black PVC 'Stark' medium backpack from MCM.,51
6,Tumi Men's Slim Solutions Backpack,"Protect the tech and organize other essentials in this backpack from Tumi. The leather-trimmed exterior includes pockets keep quick-grab essentials handy, while the interior offers padded protection for your full electronic arsenal.",51
7,Billabong Roadie Backpack - Coral,"Hit the open road with this durable utility backpack crafted from water-resistant fabric that keeps your gear safe from tropical showers or crashing waves. Side water bottle pockets make it easier to stay hydrated, and plenty of exterior pockets keep snacks or tech essentials at your fingertips. Padded shoulder straps and a mesh back panel ensure comfortable carrying through any journey. Style Name: Billabong Roadie Backpack. Style Number:",51
8,Volcom Vacations Canvas Backpack - Blue,This playfully polka-dotted backpack stores everything you need for a day on campus or day-long adventure. Style Name: Volcom Vacations Canvas Backpack. Style Number: 5674216. Available in stores.,51
9,Doughnut Small Colorado Water Repellent Backpack - Beige,"This scaled-down backpack retains the same design elements of its larger cousin-durable, water-repellent nylon construction, easily-accessible compartment, convenient pockets and utility loops and lash tags for gear-but in a more compact silhouette. Style Name: Doughnut Small Colorado Water Repellent Backpack. Style Number: 5645273. Available in stores.",51
10,Jansport Big Student Navy Backpack,"There's room for a little more inside this Jansport backpack, a spacious bag with ergonomic straps and a padded back that help lighten the load.",51
11,adidas Originals Glitter Mini Backpack,"A stylish upgrade on sporty chic, this adidas Originals mini backpack features authentic details and a glittery finish.",51
12,Tommy Hilfiger Embossed Tessa Backpack,Tommy Hilfiger Embossed Tessa Backpack,51
13,adidas League 3-Stripe Backpack,"Organize your day or your practice gear with this fresh look from adidas, a roomy backpack with sporty flair.",51
14,Superdry Silver Tarp Backpack,"Superdry men's silver tarp backpack. For comfort, is finished with a Superdry logo print and Superdry logo zip toggles. 21 liter approximate capacity.",51
15,Givenchy Men's Logo Urban Backpack - Black,"Two-tone logo embroidery lends a degrade effect to this backpack. Top handle Adjustable backpack straps Two-way zip around closure One exterior front zip pocket One interior zip pocket Fully lined Acrylic/polyamide Imported SIZE 12.6""W x 16.9""H x 7.87""D. Men Accessories - Leather Goods > Givenchy > Saks Fifth Avenue > Barneys. Givenchy. Color: Black.",51
16,Steve Madden Mini Faux Fur Convertible Backpack -,"A cute backpack made from touchably soft faux fur is just big enough for your phone, keys, wallet and a few other necessities. The straps convert so you can also carry the style as a crossbody bag when you prefer. Style Name: Steve Madden Mini Faux Fur Convertible Backpack. Style Number: 5665864. Available in stores.",51
17,Fjallraven 'Mini Kanken' Water Resistant Backpack - Blue,"Scandinavian design has long been known for offering practical, functional pieces that are beautiful to behold but are meant to be used. Originally designed in the '70s for Swedish school children, a now-iconic backpack is crafted from durable, water-resistant Vinylon F fabric and features a stylish, contemporary silhouette. Style Name: Fjallraven 'Mini Kanken' Water Resistant Backpack (Nordstrom Exclusive Color). Style Number: 822825 4.",51
18,'Rose' backpack,"Black nappa leather 'Rose' backpack from Corto Moltedo featuring adjustable straps, an internal zip pocket and a Villa Necchi-marble sphere detail.",51
19,leather backpack,Brown leather backpack from Valas.,51
20,Olympic print drawstring bag,Multicoloured Olympic print drawstring bag from NO KA麓OI.,51
21,Under Armour Men's Hudson Backpack,Head to campus or hit the gym with this backpack from Under Armour.,51
22,"Dkny Bryant Park Leather Top Zip Backpack, Created for Macy's",Hands-free gets a sleek new upgrade on the Dkny Bryant Park Leather Top Zip Backpack featuring luxe leather and polished gold-tone hardware.,51
23,Longchamp 'Le Pliage' Backpack - Pink,"Strap on a stylish standby with a durable, water-resistant nylon backpack topped with a textured leather handle and logo-embossed flap. Style Name: Longchamp 'Le Pliage' Backpack. Style Number: 256789. Available in stores.",51
24,Spiral Tribeca backpack in gray crosshatch,Backpack by Spiral For those must-carry essentials Crosshatch pattern Padded grab handle Rubber-detailed front straps Magnetic front clip Reinforced and adjustable back straps Padded back Front zip pocket Branded zips Metal Spiral label Inner laptop sleeve Branded lining Capacity: 14 litres,51
25,High Sierra Access Pro Backpack,"Take it all with you with this roomy High Sierra backpack, a water-resistant bag that protects and organizes the tech and other essentials.",51
26,Urban Originals Women's Movement Backpack,Movement by Urban Originals is a slick and sturdy backpack made from luxury vegan leather. It features a main zip compartment and a front button pocket.,51
