,name,description,id
0,Strap you,Fendi Strap you,91
1,grained pouch bag,Pink and purple calf leather grained pouch bag from Valextra.,91
2,Cathy's Concept Monogram Vegan Leather Tech Travel Case - Brown,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concept Monogram Vegan Leather Tech Travel Case. Style Number: 5700163. Available in stores.",91
3,smiley face sticker,Yellow mink fur smiley face sticker from Anya Hindmarch featuring gold-tone hardware.,91
4,blue Fendirumi Bug-kun bag charm,"Blue mink and fox fur blue Fendirumi Bug-kun bag charm from Fendi featuring a nappa leather strap, a palladium spring clip and logo tag, a yellow inlaid FF logo and a signature Bag Bugs inspired design. Please note that this item cannot be shipped outside the E.U..",91
5,'X' sticker,"Multicolour goatskin 'X' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
6,'E' sticker,"Red goatskin 'E' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
7,floral stud detachable strap,Jade green leather floral stud detachable strap from Orciani.,91
8,J.crew Plaid Leather Luggage Tag - Black,Tartan plaid brings classic preppy style to an Italian-leather luggage tag that serves as a chic way to ID your bag at pickup. Style Name:J.crew Plaid Leather Luggage Tag. Style Number: 5720377. Available in stores.,91
9,'@' sticker,"Chalk white goat skin '@' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
10,Marc Jacobs Redux Grunge Logo Webbed Bag Charm - Pink,Add a sporty flourish to your favorite handbag or keys with this playful charm featuring a vintage-inspired logo. Style Name: Marc Jacobs Redux Grunge Logo Webbed Bag Charm. Style Number: 5708457. Available in stores.,91
11,'@' sticker,"Chalk white goat skin '@' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
12,car bag badge,"Inject a touch of playfulness to your every day with this wool felt car bag patch by Olympia Le-Tan. Crafted with intricate beading in green and black, this accessory can be added using the touch fastener to the back.",91
13,Bag Bug charm,The wonderfully creative Karl Lagerfield continues to create adorable fun fur pieces for Fendi. Who needs a pet when you have this fluffy little monster on your arm? This navy blue leather and fur Bag Bug charm from Fendi features a fringed design. Please note that this item cannot be shipped outside the E.U..,91
14,embellished bag strap,Light blue and red leather embellished bag strap from Dolce & Gabbana featuring rounded studs.,91
15,'@' sticker,"Chalk white goat skin '@' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
16,Fjallraven Kanken Cotton Mini Shoulder Pads - Red,Add instant cushioning to the straps of the Fjallraven Mini Kanken backpack (sold separately) with these easy-to-install shoulder pads that attach with buttoned hook-and-loop closures. Style Name: Fjallraven Kanken Cotton Mini Shoulder Pads. Style Number: 5383137. Available in stores.,91
17,Heart sticker,"Red and black suede and crystal Heart sticker from Anya Hindmarch featuring a heart diamante motif. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
18,'Y' sticker,"Yellow goatskin 'Y' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
19,'H' sticker,"Multicoloured goatskin 'H' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
20,grained pouch,Nude and neutrals calf leather grained pouch from Valextra.,91
21,V logo sticker,"Chalk white leather V logo sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
22,Fendi 'Strap You - Karlito' Leather & Genuine Mink Fur Bag Strap - Black,"The statement strap takes center stage this spring, and Fendi lets you choose your own adventure with standalone straps that attach to any of your favorite bags for maximum styling potential. This playful option features Karl's iconic likeness, fitted with genuine mink fur shades, atop a black-and-white swath of calfskin leather for maximum Kaiser-approved style. Style Name: Fendi 'strap You - Karlito' Leather & Genuine Mink Fur Bag Strap. Style",91
23,car bag badge,"Inject a touch of playfulness to your every day with this wool felt car bag patch by Olympia Le-Tan. Crafted with intricate beading in green and black, this accessory can be added using the touch fastener to the back.",91
24,Fjallraven Kanken Cotton Mini Shoulder Pads - Green,Add instant cushioning to the straps of the Fjallraven Mini Kanken backpack (sold separately) with these easy-to-install shoulder pads that attach with buttoned hook-and-loop closures. Style Name: Fjallraven Kanken Cotton Mini Shoulder Pads. Style Number: 5383137. Available in stores.,91
25,Calpak 5-Piece Packing Cube Set -,"A place for everything and everything in its place: This smartly set-up travel system features a set of four packing cubes and a water-resistant pouch for wet/dry storage. The breathable mesh front lets you easily identify what's inside and the exterior ID label lets you add names to separate among different people, leaving you perfectly organized on your trip. Style Name: Calpak 5-Piece Packing Cube Set. Style Number: 5473645. Available in",91
26,Fendi Set Of 2 Strap You Mini Top Handle & Logo Crossbody Strap -,Add major style to your favorite bag or convert a shoulder or crossbody look to a handheld bag-and vice versa-with this pair of interchangeable straps detailed with Fendi logos. Style Name: Fendi Set Of 2 Strap You Mini Top Handle & Logo Crossbody Strap. Style Number: 5482889. Available in stores.,91
27,embellished bag strap,"Revive your favourite Dolce & Gabbana bag with this embellished bag strap for a bold edge. Crafted from luxury deep yellow calf leather with a snakeskin effect, this bag strap features gold-tone lobster claw fastenings and is decorated with multicoloured gemstone, spike, rounded, star and pyramid stud embellishments for a rocker edge.",91
28,'T' sticker,"Chalk white leather 'T' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
29,Bag Bugs backpack bag charm,"Yellow leather Bag Bugs backpack bag charm from Fendi featuring a backpack shape, a front pocket, a pink and black fox fur crest, a signature Bag Bugs design and a palladium spring clip, ring and zipper. Please note that this item cannot be shipped outside the E.U..",91
30,pom pom bag strap,Multicoloured cotton and raccoon fur pom pom bag strap from Anya Hindmarch.,91
31,Sticker shoulder strap,Chalk white leather Sticker shoulder strap from Anya Hindmarch.,91
32,Kid bag charm,"The wonderfully creative Karl Lagerfield continues to create adorable fun fur pieces for Fendi. Who needs a pet when you have this fluffy little monster on your arm? This multicolored fox fur and mink fur Kid bag charm from Fendi features a leather strap and a silver-tone palladium spring clip, ring and engraved logo tag. Please note that this item cannot be shipped outside the E.U..",91
33,grained pouch,Nude and neutrals calf leather grained pouch from Valextra.,91
34,studded Strap You,"The Fendi collection features playfully striking detailing, elaborating the elegantly decadent spirit of the brand. This leather studded Strap You features a pink studded design with a light brown trimmed hem.",91
35,'O' sticker,"Multicolour goatskin 'O' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
36,Ouch sticker,"Pale gold leather Ouch sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
37,Marc Jacobs Logo Webbing Guitar Bag Strap - Pink,"A shimmering embroidered logo adds sophisticated, eye-catching style to a trend-savvy strap that instantly refreshes your favorite handbag. Style Name: Marc Jacobs Logo Webbing Guitar Bag Strap. Style Number: 5581160. Available in stores.",91
38,Levtex Metallic Initial Storage Bag - Green,Personalize your personal storage with this zip-top bag in a metallic-flecked tweed with the initial of your choice appliqued on one side. Style Name: Levtex Metallic Initial Storage Bag. Style Number: 5684774. Available in stores.,91
39,J.crew Leather Luggage Tag - Pink,A eye-catching pink hue brings standout appeal to an Italian-leather luggage tag that serves as a chic way to ID your bag at pickup. Style Name:J.crew Leather Luggage Tag. Style Number: 5720387. Available in stores.,91
40,'F' sticker,"Multicolour goatskin 'F' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
41,Alphabet patch,"Violet, white and black Alphabet patch from Olympia Le-Tan featuring a touch fastening design and glass bead embroidery. Please note, this item can be used as a brooch.",91
42,Cathy's Concept Monogram Vegan Leather Tech Travel Case -,"Elasticized bands to keep cords tangle free and a roomy pocket make this vegan leather case an ideal solution for organizing your tech essentials for travel. Plus, it can be personalized with an initial of your choice. Style Name: Cathy's Concept Monogram Vegan Leather Tech Travel Case. Style Number: 5700163 2. Available in stores.",91
43,strap bag attachment,"The collection from Fendi features playfully striking detailing - elaborating the elegantly decadent spirit of the brand. Revive your Fendi bag with this light blue leather strap bag attachment. Made in Italy, it features a clip fastening, silver-tone hardware and is finished with pyramid studs.",91
44,'E' sticker,"Red goatskin 'E' sticker from Anya Hindmarch. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
45,rabbit fur bag charm,Blue rabbit fur bag charm from Moncler featuring a lobster clasp fastening and a hanging logo plaque.,91
46,Heart sticker,"Red and black suede and crystal Heart sticker from Anya Hindmarch featuring a heart diamante motif. Created in collaboration with Charlotte Stockdale of Chaos Fashion, these stickers are designed to adhere to any surface permanently, so once attached they cannot be removed.",91
